Description,Price After Discount,Price Before Discount,Discount Percentage,Rating,image_urls
Caesar Mens Jabardine Lining Jacket With Zipper,EGP 699.00,EGP 800.00,13%,4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/310733/1.jpg?1770
Decathlon Men’s Hiking Fleece Jacket - Mh120,EGP 759.00,,,4.1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/275094/1.jpg?4954
Caesar Mens Jabardine Lining Jacket With Zipper,EGP 699.00,EGP 920.00,24%,4.1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/110805/1.jpg?2544
Caesar Mens Jabardine Lining Jacket With Zipper And Front Pockets,EGP 699.00,EGP 800.00,13%,5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/9378711/1.jpg?3710
Caesar Mens Jabardine Lining Jacket With Zipper,EGP 699.00,EGP 800.00,13%,4.5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/1521411/1.jpg?2088
Decathlon Men’s Hiking Fleece Jacket - Mh120,EGP 759.00,,,4.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/320094/1.jpg?1632
Caesar Mens Chmois Lining Jacket With Zipper And Front Pockets,EGP 794.00,EGP 800.00,1%,,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/1478711/1.jpg?3709
Jacket For Men’s Leather,"EGP 1,100.00",,,,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/969252/1.jpg?4529
Jacket For Men’s Leather,"EGP 1,100.00",,,4,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/969252/1.jpg?4530
Elegant Wool Men’s Jacket – Black,"EGP 1,200.00",,,,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/8927221/1.jpg?7095
Caesar Mens Jabardine Lining Jacket With Zipper,EGP 699.00,EGP 920.00,24%,3.3,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/110805/1.jpg?2542
Caesar Mens Capotene Lining Jacket With Zipper,EGP 499.00 - EGP 627.00,EGP 800.00,38%,3.7,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/183616/1.jpg?3046
Elegant Wool Men’s Jacket – Black,EGP 650.00,"EGP 1,200.00",46%,,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/8258521/1.jpg?5665
